makanan,kalori
alpukat,322
anggur,69
apel,72
asparagus,20
bakso sapi,202
bebek goreng,286
brokoli,55
buah naga,50
cheeseburger,303
chicken nugget,297
dada ayam goreng,216
hamburger,250
ikan kembung,167
ikan lele goreng,105
ikan lele panggang,184
ikan salmon panggang,171
jagung,96
jambu air,55
jambu biji,37
jeruk,62
kentang,77
kentang rebus,87
mangga manalagi,72
manggis,73
melon,34
mentega,717
mentimun,16
mie goreng instan,350
nanas,50
nasi,130
nasi merah,110
nasi putih,175
pepaya,39
perkedel kentang,117
persik,39
pisang,105
pizza,266
roti gandum,67
roti putih,66
salad caesar,44
salak,8
sambal goreng kentang,107
sandwich,200
sari apel,50
selada,15
semangka,30
singkong,160
spagetti,157
stroberi,32
tahu,76
tahu bacem,119
tahu bakso,119
tahu isi,124
tahu sumedang,113
telur ceplok,92
telur dadar,93
telur orak arik,199
telur rebus,68
tempe bacem,157
tempe goreng,118
tomat,18
tumis kacang panjang,102
tumis kangkung,155
tumis labu siam,106
ubi jalar,86
udang goreng tepung,150
yogurt rendah lemak,63
yogurt tanpa lemak,59
